bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,119,-13.33,609,646,-6.08,0,0
coremark_toy,fixed_hazard,150,162,-8.00,927,957,-3.24,0,0
dhrystone_toy,fixed_branch,124,133,-7.26,798,825,-3.38,0,0
dsp_fir_codegen,fixed_hazard,168,193,-14.88,1046,1101,-5.26,0,0
load_use_heavy,fixed_hazard,169,183,-8.28,1017,1054,-3.64,0,0
memory_heavy,fixed_memory,147,197,-34.01,839,1040,-23.96,0,0
mixed_control,fixed_memory,105,131,-24.76,617,725,-17.50,0,0
pid_control_codegen,fixed_memory,178,201,-12.92,1080,1154,-6.85,0,0
tiny_fir,fixed_memory,127,159,-25.20,739,878,-18.81,0,0
